,Name,Min,Max,Mean
0,Dynamics,0.2,0.2,0.2
1,AttackTime,0.05818378925,0.5272727013,0.19540006778846156
2,AttackTime2,0.0,0.5272122622,0.15025019131384618
3,DecayTime,0.2181818187,0.5819160938,0.36814630717692304
4,DecayTime2,0.3090909123,0.5818181634,0.3782969781692308
5,SustainTime,1.0,1.0,1.0
6,SustainTime2,1.0,1.0,1.0
7,ReleaseTime,0.2909090817,0.5947558284,0.4426842194461538
8,ReleaseTime2,0.3272727132,0.4181818068,0.38324595644615383
9,FilterEnvCutoffMod,0.4569296539,0.7456663251,0.5984241205769231
