,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
0,"15_03_Bass_35_[0, 0, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,-0.6428571343,-1.0,-0.40865325929999996,-0.5,0,0,-3,0,-0.5555555522,-0.47272729869999996,-0.4180839062,0.0,0,-0.6363636255,-0.47278773780000005,-0.41818183659999997,0.0,0,-0.6364835203,-0.5,-1.0,0,False,-1.0
1,"15_03_Bass_35_[0, 0, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,-0.6428571343,0.0,-0.40865325929999996,-0.5,0,0,-3,0,-0.5555555522,-0.47272729869999996,0.5819160938,0.0,0,0.3636363745,-0.47278773780000005,-0.41818183659999997,1.0,0,-0.6364835203,0.5,-1.0,0,False,0.0
2,"15_03_Bass_35_[0, 0, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,-0.6428571343,2.0,-0.40865325929999996,-0.5,0,0,-3,0,-0.5555555522,-0.47272729869999996,2.5819160938,0.0,0,2.3636363745,-0.47278773780000005,-0.41818183659999997,3.0,0,-0.6364835203,2.5,-1.0,0,False,2.0
3,"15_03_Bass_35_[0, 1, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,0.3571428657,-1.0,-0.40865325929999996,0.5,0,0,-3,0,-0.5555555522,0.5272727013,-0.4180839062,0.0,1,-0.6363636255,-0.47278773780000005,0.5818181634,0.0,0,0.3635164797,-0.5,-1.0,0,False,-1.0
4,"15_03_Bass_35_[0, 1, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,0.3571428657,0.0,-0.40865325929999996,0.5,0,0,-3,0,-0.5555555522,0.5272727013,0.5819160938,0.0,1,0.3636363745,-0.47278773780000005,0.5818181634,1.0,0,0.3635164797,0.5,-1.0,0,False,0.0
5,"15_03_Bass_35_[0, 1, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,0.3571428657,2.0,-0.40865325929999996,0.5,0,0,-3,0,-0.5555555522,0.5272727013,2.5819160938,0.0,1,2.3636363745,-0.47278773780000005,0.5818181634,3.0,0,0.3635164797,2.5,-1.0,0,False,2.0
6,"15_03_Bass_35_[0, 2, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,2.3571428657,-1.0,-0.40865325929999996,2.5,0,0,-3,0,-0.5555555522,2.5272727013000003,-0.4180839062,0.0,3,-0.6363636255,-0.47278773780000005,2.5818181634,0.0,0,2.3635164797,-0.5,-1.0,0,False,-1.0
7,"15_03_Bass_35_[0, 2, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,2.3571428657,0.0,-0.40865325929999996,2.5,0,0,-3,0,-0.5555555522,2.5272727013000003,0.5819160938,0.0,3,0.3636363745,-0.47278773780000005,2.5818181634,1.0,0,2.3635164797,0.5,-1.0,0,False,0.0
8,"15_03_Bass_35_[0, 2, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,-0.4453125,2.3571428657,2.0,-0.40865325929999996,2.5,0,0,-3,0,-0.5555555522,2.5272727013000003,2.5819160938,0.0,3,2.3636363745,-0.47278773780000005,2.5818181634,3.0,0,2.3635164797,2.5,-1.0,0,False,2.0
9,"15_03_Bass_35_[1, 0, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,-0.6428571343,-1.0,0.5913467407,-0.5,0,0,-3,0,0.4444444478,-0.47272729869999996,-0.4180839062,1.0,0,-0.6363636255,0.5272122622,-0.41818183659999997,0.0,1,-0.6364835203,-0.5,0.0,0,False,-1.0
10,"15_03_Bass_35_[1, 0, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,-0.6428571343,0.0,0.5913467407,-0.5,0,0,-3,0,0.4444444478,-0.47272729869999996,0.5819160938,1.0,0,0.3636363745,0.5272122622,-0.41818183659999997,1.0,1,-0.6364835203,0.5,0.0,0,False,0.0
11,"15_03_Bass_35_[1, 0, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,-0.6428571343,2.0,0.5913467407,-0.5,0,0,-3,0,0.4444444478,-0.47272729869999996,2.5819160938,1.0,0,2.3636363745,0.5272122622,-0.41818183659999997,3.0,1,-0.6364835203,2.5,0.0,0,False,2.0
12,"15_03_Bass_35_[1, 1, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,0.3571428657,-1.0,0.5913467407,0.5,0,0,-3,0,0.4444444478,0.5272727013,-0.4180839062,1.0,1,-0.6363636255,0.5272122622,0.5818181634,0.0,1,0.3635164797,-0.5,0.0,0,False,-1.0
13,"15_03_Bass_35_[1, 1, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,0.3571428657,0.0,0.5913467407,0.5,0,0,-3,0,0.4444444478,0.5272727013,0.5819160938,1.0,1,0.3636363745,0.5272122622,0.5818181634,1.0,1,0.3635164797,0.5,0.0,0,False,0.0
14,"15_03_Bass_35_[1, 1, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,0.3571428657,2.0,0.5913467407,0.5,0,0,-3,0,0.4444444478,0.5272727013,2.5819160938,1.0,1,2.3636363745,0.5272122622,0.5818181634,3.0,1,0.3635164797,2.5,0.0,0,False,2.0
15,"15_03_Bass_35_[1, 2, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,2.3571428657,-1.0,0.5913467407,2.5,0,0,-3,0,0.4444444478,2.5272727013000003,-0.4180839062,1.0,3,-0.6363636255,0.5272122622,2.5818181634,0.0,1,2.3635164797,-0.5,0.0,0,False,-1.0
16,"15_03_Bass_35_[1, 2, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,2.3571428657,0.0,0.5913467407,2.5,0,0,-3,0,0.4444444478,2.5272727013000003,0.5819160938,1.0,3,0.3636363745,0.5272122622,2.5818181634,1.0,1,2.3635164797,0.5,0.0,0,False,0.0
17,"15_03_Bass_35_[1, 2, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,2.3571428657,2.0,0.5913467407,2.5,0,0,-3,0,0.4444444478,2.5272727013000003,2.5819160938,1.0,3,2.3636363745,0.5272122622,2.5818181634,3.0,1,2.3635164797,2.5,0.0,0,False,2.0
18,"15_03_Bass_35_[2, 0, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,2.5546875,-0.6428571343,-1.0,2.5913467407,-0.5,0,0,-3,0,2.4444444478,-0.47272729869999996,-0.4180839062,3.0,0,-0.6363636255,2.5272122622,-0.41818183659999997,0.0,3,-0.6364835203,-0.5,2.0,0,False,-1.0
19,"15_03_Bass_35_[2, 0, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,2.5546875,-0.6428571343,0.0,2.5913467407,-0.5,0,0,-3,0,2.4444444478,-0.47272729869999996,0.5819160938,3.0,0,0.3636363745,2.5272122622,-0.41818183659999997,1.0,3,-0.6364835203,0.5,2.0,0,False,0.0
20,"15_03_Bass_35_[2, 0, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,2.5546875,-0.6428571343,2.0,2.5913467407,-0.5,0,0,-3,0,2.4444444478,-0.47272729869999996,2.5819160938,3.0,0,2.3636363745,2.5272122622,-0.41818183659999997,3.0,3,-0.6364835203,2.5,2.0,0,False,2.0
21,"15_03_Bass_35_[2, 1, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,2.5546875,0.3571428657,-1.0,2.5913467407,0.5,0,0,-3,0,2.4444444478,0.5272727013,-0.4180839062,3.0,1,-0.6363636255,2.5272122622,0.5818181634,0.0,3,0.3635164797,-0.5,2.0,0,False,-1.0
22,"15_03_Bass_35_[2, 1, 1]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,2.5546875,0.3571428657,0.0,2.5913467407,0.5,0,0,-3,0,2.4444444478,0.5272727013,0.5819160938,3.0,1,0.3636363745,2.5272122622,0.5818181634,1.0,3,0.3635164797,0.5,2.0,0,False,0.0
23,"15_03_Bass_35_[2, 1, 2]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,2.5546875,0.3571428657,2.0,2.5913467407,0.5,0,0,-3,0,2.4444444478,0.5272727013,2.5819160938,3.0,1,2.3636363745,2.5272122622,0.5818181634,3.0,3,0.3635164797,2.5,2.0,0,False,2.0
24,"15_03_Bass_35_[2, 2, 0]",Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,2.5546875,2.3571428657,-1.0,2.5913467407,2.5,0,0,-3,0,2.4444444478,2.5272727013000003,-0.4180839062,3.0,3,-0.6363636255,2.5272122622,2.5818181634,0.0,3,2.3635164797,-0.5,2.0,0,False,-1.0
