,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
0,15_03_Bass_35,Bass,True,False,False,False,1.0,0.1,0.0,0.2,0,-3,0,0.5546875,0.3571428657,0,0.5913467407,0.5,0,0,-3,0,0.4444444478,0.5272727013,0.5819160938,1,1,0.3636363745,0.5272122622,0.5818181634,1,1,0.3635164797,0.5,0,0,false,0
1,15_03_Bass_36,Bass,True,False,False,False,1.0,0.0,0.0,0.2,0,-3,0,0.4591751695,0.2265625,0,0.4569296539,0.5,0,0,-3,0,0.5408248305,0.5272727013,0.5819160938,1,1,0.3948069215,0.5272122622,0.5818181634,1,1,0.3948069215,0.5,0,0,false,0
2,15_03_Bass_37,Bass,True,False,False,False,1.0,0.0,0.0,0.1,0,-3,0,0.5,0.2265625,0,0.0625,0.5,0,0,-3,0,0.5,0.2544971406,0.4601822793,1,1,0.3636363745,0.2545454502,0.4601822793,1,1,0.3635164797,0.5,0,0,false,0
3,15_03_Bass_38,Bass,True,False,False,False,1.0,0.0,0.0,0.0,0,-3,0,0.5,0.1587301642,0,0.406316936,0.5,0,1,-3,0,0.5,0.2544971406,0.5819160938,1,1,0.3819004297,0.2545454502,0.5818181634,1,1,0.3818181753,0.5,0,0,false,0
4,15_03_Bass_39,Bass,True,False,False,False,1.0,0.0,0.0,0.3,0,-3,0,0.5,0.2222222239,0,0.0625,0.5,0,1,-3,0,0.5,0.165403977,0.490084976,1,1,0.436989069,0.165403977,0.490084976,1,1,0.436989069,0.5,0,0,true,0.109375
5,15_03_Bass_40,Bass,True,False,False,False,1.0,0.0,0.0,0.4,0,-3,0,0.5,0.2265625,0.28125,0.5913467407,0.396825403,0,1,-3,0,0.5,0.5272727013,0.5819160938,1,1,0.400000006,0.5272122622,0.5818181634,1,1,0.5090909004,0.5,0,0,false,0
6,15_03_Bass_41,Bass,True,False,False,False,1.0,0.0,0.0,0.3,0,-3,0,0.5,0.2265625,0.28125,0.609375,0.5,0,1,-3,0,0.5,0.3948069215,0.490084976,0.4167185724,1,0.400000006,0.3948069215,0.490084976,0.4167185724,1,0.3998488486,0.5,0,0,false,0
7,15_03_Pluck_01,Pluck,True,True,False,False,1.0,0.6,0.0,0.0,1,0,0,0.5,0.6984127164,0,0.5913467407,0.5,0,2,1,0,0.5,0.1454545408,0.3099362254,0.4167185724,1,0.2909090817,0,0.3090909123,0.4181818068,1,0.3636363745,0.5,0,0,true,0.02999999933
8,15_03_Pluck_02,Pluck,True,True,False,False,1.0,0.8,0.0,0.2,1,0,0,0.5,0.8412698507,0,0.5,0.5,0,2,1,0,0.5,0.1454545408,0.3099362254,0.5464286804,1,0.2909090817,0.05454545468,0.3090909123,0.5454545617,1,0.34375,0.5,0,0,true,0.02999999933
9,15_03_Pluck_03,Pluck,True,True,False,False,1.0,0.8,0.0,0.3,1,0,0,0.5,0.8412698507,0,0.5,0.5,0,1,1,0,0.5,0.1890762597,0.4938329756,0.2877339423,1,0.4238993227,0.1890762597,0.4938329756,0.2877339423,1,0.4309955835,0.5,0,0,true,0.02999999933
