,Name,Type,Consistent,Bright,Evolves,Dynamic,Consistency,Brightness,Evolution,Dynamics,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
0,17_05_808_32,808,True,True,False,False,0.6,0.6,0.0,1.0,0,-3,0,0.3615562618,0.7505584955,0,0.6607554555,0,0,0,-2,0,0.6384437084,0,0.6328125,0.8185710907,1,0.7638876438,0,0.4727272689,0.5090909004,1,0.3270148933,0.2900240421,0.3700000048,0,true,0.1639999896
1,17_05_Pluck_36,Pluck,True,True,True,False,0.9,0.9,0.9,0.4,1,1,0,0.3959167004,0.951325357,0.9482678175,0.6380457878,0.764888525,0,0,2,0,0.6040832996,0,0.5091430545,0.3770309985,1,0.6400341392,0,0.5091430545,0.3770309985,1,0.6400341392,0.1577323675,0.2399999946,0,true,0.1379999965
2,18_05_Lead_10,Lead,False,False,True,True,0.2,0.3,0.8,0.9,1,0,0,0.3020942807,0.5995243788,0.8428538442,0.6416211724,0.6405442357,0,1,0,0,0.6979057193,0.4876755178,0.6287206411,0.758094728,1,0.7371788621,0.4876755178,0.6287206411,0.758094728,1,0.7371788621,0.4833734334,0.5640000105,0,true,0.3639999926
3,18_05_Lead_06,Lead,False,False,False,True,0.3,0.4,0.4,0.9,1,0,0,0.3174257874,0.6549663544,0.4600516856,0.6404293776,0.3060030341,0,1,0,0,0.6825742126,0.4920125604,0.6301370859,0.7278575897,1,0.7378723621,0.4909090996,0.7454545498,0.8588886261,1,0.6363636255,0.4528445303,0.5099999905,0,true,0.2899999917
4,17_05_808_24,808,True,False,True,False,1.0,0.4,0.9,0.4,0,-3,0,0.4365079403,0.6428571343,0,0.6380457878,0.7460317612,0,0,-2,0,0.5645497441,0,0.5289980173,0.3770309985,1,0.6423984766,0,0.5289980173,0.3770309985,1,0.6423984766,0.6898656487,0.6899999976,0,true,0.4569999874
5,17_05_Pluck_20,Pluck,True,False,False,True,0.8,0.2,0.4,0.9,1,1,0,0.3845299482,0.5238095522,0.4492149055,0.71875,0.7142857313,0,0,2,0,0.6154700518,0.0390625,0.6241402626,0.6774606705,1,0.734375,0,0.6241402626,0.6774606705,1,0.7344049811,0.1984375268,0.2800000012,0,true,0.1480000019
6,17_05_808_08,808,False,False,True,True,0.3,0.3,1.0,1.0,0,-3,0,0.3220486939,0.5896722674,1,0.6661021113,0.8333333135,0,0,-2,0,0.6779513359,0.07272727042,0.6328125,0.8588886261,1,0.7638876438,0.07278963178,0.6328125,0.8588886261,1,0.7636363506,0.4375,0.5390625,0,true,0.28125
7,04_05_808_05,808,False,True,False,False,0.1,0.5,0.2,0.3,0,-3,0,0.2698412836,0.7147207856,0.2218272537,0.6380457878,0.293650806,0,0,-2,0,0.7309401035,0,0.3998488486,0.3671091199,1,0.3099362254,0,0.400000006,0.3636363745,1,0.3090909123,0.5390625,0.6484375,0,true,0.3984375
8,17_05_808_28,808,True,False,True,True,0.6,0.1,0.7,0.8,0,-3,0,0.3615562618,0.3837701678,0,0.6276510954,0.7142857313,0,0,-2,0,0.6384437084,0,0.6018733978,0.6270637512,1,0.728772521,0,0.6018733978,0.6270637512,1,0.728772521,0.2900240421,0.3700000048,0,true,0.1629999876
9,18_05_Bass_17,Bass,True,False,True,False,0.8,0.4,0.7,0.4,0,-3,0,0.3809762001,0.6746031642,0.364534229,0.5139184594,0.2367373705,0,1,-2,0,0.6190237999,0.5860513449,0.5318486691,0.3869529068,1,0.6391475797,0.5860513449,0.5318486691,0.3869529068,1,0.6391475797,0.218790099,0.2999999821,0,true,0.1509999931
10,04_05_Pluck_03,Pluck,False,False,True,False,0.2,0.1,0.0,0.3,1,1,0,0.3174603283,0.3888888955,0,0.6380457878,0.8333333135,0,0,2,0,0.6825742126,0,0.3998488486,0.5067195296,1,0.6141168475,0,0.4727272689,0.5090909004,1,0.6141168475,0.328125,0.4140625,0,true,0.40625
11,17_05_808_04,808,False,False,False,True,0.1,0.1,0.4,0.7,0,-3,0,0.293650806,0.3188272715,0.4437084198,0.6058038473,0.3046875,0,0,-2,0,0.7061553001,0,0.5637511015,0.5968256593,1,0.7100608945,0,0.5636363626,0.5090909004,1,0.7100608945,0.53125,0.6171875,0,true,0.390625
12,17_05_Pluck_16,Pluck,True,False,False,False,1.0,0.4,0.0,0.1,1,1,0,0.4285714328,0.6850252151,0,0.578125,0.2857142985,0,0,1,0,0.570710659,0,0.4705887437,0.09921894968,1,0.4847841263,0,0.4705887437,0.09921894968,1,0.4847841263,0.0703125,0.09375,0,true,0.09375
13,17_05_808_12,808,False,True,False,True,0.4,0.6,0.0,0.5,0,-3,0,0.3253968358,0.7380952239,0.109375,0.6380457878,0.1495069712,0,0,-2,0,0.6746031642,0,0.5779224038,0.5,1,0.7344049811,0,0.5779224038,0.5,1,0.734375,0.3984375,0.4765625,0,true,0.2265625
14,18_05_Bass_01,Bass,False,False,False,False,0.0,0.0,0.3,0.3,0,-3,0,0.1464466155,0.190476194,0.4090722799,0.4790773392,0.6825397015,0,1,-2,0,0.8535534143,0.530426681,0.5053377151,0.3359375,1,0.6095587611,0.530426681,0.5053377151,0.3373434544,1,0.6095587611,0.6796875,0.65625,0,true,0.4609375
15,17_05_Pluck_40,Pluck,True,True,True,True,1.0,0.9,0.8,0.8,1,1,0,0.4591751695,0.9111388922,0.8502861261,0.6332166195,0.6637080908,0,0,2,0,0.5408248305,0.04163748026,0.6018733978,0.6673812866,1,0.7243410349,0.04163748026,0.6018733978,0.6673812866,1,0.7243410349,0.09667469561,0.1400000006,0,true,0.07999999821
16,17_05_808_13,808,False,True,True,False,0.5,0.6,0.5,0.3,0,-3,0,0.3556624353,0.7575032711,0.5,0.6380457878,0.7523537874,0,0,-2,0,0.6443375349,0,0.5074954629,0.2976558805,1,0.6141168475,0,0.5074954629,0.2976558805,1,0.6141168475,0.3103765845,0.3899999857,0,true,0.1799999923
17,17_05_Pluck_17,Pluck,True,False,False,False,0.9,0.4,0.1,0.0,1,1,0,0.4047619104,0.6677320004,0.2218272537,0.578125,0.1183643416,0,0,1,0,0.5957427025,0.03125,0.3711843193,0.05953136832,1,0.3998488486,0,0.3711843193,0.05953136832,1,0.400000006,0.171875,0.2099999934,0,true,0.1328125
18,17_05_808_05,808,False,False,True,False,0.1,0.0,0.9,0.1,0,-3,0,0.2380952388,0.3182159066,0.97447294,0.4365967512,0.8174602985,0,0,-2,0,0.7614064217,0.05454545468,0.5090909004,0.0892970562,1,0.5272122622,0.05818378925,0.4660507441,0.0892970562,1,0.5272727013,0.5234375,0.5859375,0,true,0.40625
19,17_05_Pluck_01,Pluck,False,False,False,False,0.1,0.1,0.0,0.0,1,1,0,0.7539682388,0.3571428657,0,0.4212583005,0,0,0,2,0,0.2460317463,0,0.3998488486,0.3671091199,1,0.3099362254,0,0.400000006,0.3636363745,1,0.3090909123,0.546875,0.6484375,0,true,0.4375
20,18_05_Bass_16,Bass,True,False,True,False,0.6,0.2,0.7,0.3,0,-3,0,0.3645993471,0.4688926637,0.7596766949,0.477712214,0.6039021611,0,1,-2,0,0.6354006529,0.2445853204,0.5049061775,0.2877339423,1,0.6055656672,0.1272727251,0.7454545498,0.8588886261,1,0.3454545438,0.5,0.3599999845,0,true,0.1629999876
